t;Rt;Cp;abs
0;a;1;0.742
0;a;1;0.727
0;b;1;0.949
0;b;1;0.949
0;c;1;1.146
0;c;1;1.11
0;a;3;0.948
0;a;3;0.906
0;b;3;1.146
0;b;3;1.178
0;c;3;1.339
0;c;3;1.293
0;a;8;2.435
0;a;8;2.635
0;b;8;2.735
0;b;8;2.421
0;c;8;2.149
0;c;8;2.164
10;a;1;0.748
10;a;1;0.722
10;b;1;0.948
10;b;1;0.946
10;c;1;1.15
10;c;1;1.124
10;a;3;0.971
10;a;3;0.931
10;b;3;1.162
10;b;3;1.186
10;c;3;1.362
10;c;3;1.313
10;a;8;2.549
10;a;8;2.722
10;b;8;2.859
10;b;8;2.52
10;c;8;2.216
10;c;8;2.269
20;a;1;0.752
20;a;1;0.73
20;b;1;0.952
20;b;1;0.957
20;c;1;1.149
20;c;1;1.131
20;a;3;0.988
20;a;3;0.944
20;b;3;1.163
20;b;3;1.195
20;c;3;1.361
20;c;3;1.326
20;a;8;2.555
20;a;8;2.747
20;b;8;2.845
20;b;8;2.463
20;c;8;2.239
20;c;8;2.29
30;a;1;0.759
30;a;1;0.735
30;b;1;0.963
30;b;1;0.96
30;c;1;1.162
30;c;1;1.134
30;a;3;1.002
30;a;3;0.956
30;b;3;1.175
30;b;3;1.208
30;c;3;1.382
30;c;3;1.331
30;a;8;2.567
30;a;8;2.796
30;b;8;2.951
30;b;8;2.534
30;c;8;2.245
30;c;8;2.347
40;a;1;0.76
40;a;1;0.74
40;b;1;0.962
40;b;1;0.968
40;c;1;1.164
40;c;1;1.141
40;a;3;1.015
40;a;3;0.96
40;b;3;1.181
40;b;3;1.22
40;c;3;1.386
40;c;3;1.336
40;a;8;2.585
40;a;8;2.77
40;b;8;2.924
40;b;8;2.5
40;c;8;2.267
40;c;8;2.356
